,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
2697,Acura,CL,2001,0,225,6,AUTOMATIC,front wheel drive,2,Luxury,Midsize,Coupe,27,17,204,27980
2698,Acura,CL,2002,0,225,6,AUTOMATIC,front wheel drive,2,Luxury,Midsize,Coupe,27,17,204,28030
2703,Acura,CL,2003,0,225,6,AUTOMATIC,front wheel drive,2,Luxury,Midsize,Coupe,27,17,204,28200
2701,Acura,CL,2003,0,260,6,AUTOMATIC,front wheel drive,2,"Factory Tuner,Luxury,Performance",Midsize,Coupe,27,17,204,30550
2704,Acura,CL,2003,0,260,6,MANUAL,front wheel drive,2,"Factory Tuner,Luxury,Performance",Midsize,Coupe,26,17,204,30550
5801,Acura,ILX,2015,0,150,4,AUTOMATIC,front wheel drive,4,Luxury,Compact,Sedan,35,24,204,27050
5807,Acura,ILX,2016,0,201,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,Sedan,36,25,204,27900
5812,Acura,ILX,2017,0,201,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,Sedan,35,25,204,27990
5798,Acura,ILX,2015,0,201,4,MANUAL,front wheel drive,4,"Luxury,Performance",Compact,Sedan,31,22,204,29350
5796,Acura,ILX Hybrid,2014,0,111,4,AUTOMATIC,front wheel drive,4,"Luxury,Hybrid",Compact,Sedan,38,39,204,28900
5923,Acura,Integra,1999,0,140,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,2dr Hatchback,29,22,204,2799
5918,Acura,Integra,1999,0,140,4,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,29,22,204,2827
5925,Acura,Integra,2000,0,140,4,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,28,22,204,3012
5930,Acura,Integra,2000,0,140,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,2dr Hatchback,28,22,204,3086
5922,Acura,Integra,1999,0,170,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,28,22,204,3355
5921,Acura,Integra,1999,0,170,4,MANUAL,front wheel drive,4,"Luxury,Performance",Compact,Sedan,28,22,204,3381
5926,Acura,Integra,2000,0,170,4,MANUAL,front wheel drive,4,"Luxury,Performance",Compact,Sedan,28,22,204,3622
5927,Acura,Integra,2000,0,170,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,28,22,204,3652
5929,Acura,Integra,2000,0,195,4,MANUAL,front wheel drive,2,"Hatchback,Factory Tuner,Luxury,Performance",Compact,2dr Hatchback,28,22,204,7398
5933,Acura,Integra,2001,0,140,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,2dr Hatchback,28,22,204,19400
5934,Acura,Integra,2001,0,140,4,AUTOMATIC,front wheel drive,2,"Hatchback,Luxury",Compact,2dr Hatchback,28,21,204,20200
5940,Acura,Integra,2001,0,140,4,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,28,22,204,20200
5937,Acura,Integra,2001,0,140,4,AUTOMATIC,front wheel drive,4,Luxury,Compact,Sedan,28,21,204,21000
5941,Acura,Integra,2001,0,170,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,28,22,204,22300
5931,Acura,Integra,2001,0,170,4,MANUAL,front wheel drive,4,"Luxury,Performance",Compact,Sedan,28,22,204,22600
5939,Acura,Integra,2001,0,195,4,MANUAL,front wheel drive,2,"Hatchback,Factory Tuner,Luxury,Performance",Compact,2dr Hatchback,28,22,204,24450
