Model,Abalone,Airfoil,Bike Sharing,Body Fat,California Housing,Cars,Diabetes,Energy Efficiency,Student Performance,Wine Quality,Yacht
Weighted k-NN,2.2982 +/- 0.1483,2.6450 +/- 0.3324,103.1476 +/- 2.8260,0.0130 +/- 0.0016,0.6345 +/- 0.0240,12365.6066 +/- 1753.7516,59.2010 +/- 3.2875,2.2605 +/- 0.1120,2.2185 +/- 0.4210,0.6347 +/- 0.0057,8.5505 +/- 2.0717
MLP,2.0625 +/- 0.1319,2.3635 +/- 0.2161,43.7447 +/- 1.2769,0.0110 +/- 0.0006,0.5075 +/- 0.0097,18037.6945 +/- 2748.3131,53.8498 +/- 2.8265,2.0758 +/- 0.2877,1.3576 +/- 0.3079,0.6627 +/- 0.0069,2.8607 +/- 0.9752
MLKR,2.1149 +/- 0.1278,2.7371 +/- 0.2418,49.9855 +/- 2.0232,0.0121 +/- 0.0015,0.4638 +/- 0.0095,15034.9416 +/- 1960.6138,58.5988 +/- 3.2137,1.0268 +/- 0.1836,1.5060 +/- 0.3943,0.6100 +/- 0.0089,2.9590 +/- 0.8684
"NN-kNN (softmax), pure",2.1538 +/- 0.1493,2.1657 +/- 0.2505,56.9393 +/- 0.5027,0.0112 +/- 0.0014,0.5945 +/- 0.0197,13373.5955 +/- 1467.5713,54.4565 +/- 4.0366,1.0515 +/- 0.2486,1.2694 +/- 0.3114,0.6140 +/- 0.0043,2.5082 +/- 0.6678
"NN-kNN (softmax), adaptation",2.0977 +/- 0.1498,2.0845 +/- 0.2807,52.3072 +/- 0.8663,0.0106 +/- 0.0009,0.5804 +/- 0.0422,12606.3096 +/- 1291.2068,54.2233 +/- 2.4105,1.0168 +/- 0.1463,1.2975 +/- 0.3209,0.6120 +/- 0.0041,1.6095 +/- 0.4468
"NN-kNN (softmax) + locality, locality",2.1613 +/- 0.1570,2.2312 +/- 0.2783,58.9578 +/- 5.3031,0.0113 +/- 0.0014,0.6521 +/- 0.0485,12821.6574 +/- 2145.0243,54.5440 +/- 4.0522,0.9246 +/- 0.0792,1.2980 +/- 0.3133,0.6103 +/- 0.0035,5.9550 +/- 1.9212
"NN-kNN (softmax) + locality, locality + adaptation",2.0945 +/- 0.1370,2.1655 +/- 0.2956,53.0434 +/- 2.6036,0.0105 +/- 0.0007,0.6702 +/- 0.1590,11604.1850 +/- 1444.2962,54.6047 +/- 3.2088,1.0725 +/- 0.1539,1.3408 +/- 0.3176,0.6092 +/- 0.0049,3.5287 +/- 1.3465
"NN-kNN (sparsemax), pure",2.2327 +/- 0.1599,1.9948 +/- 0.2154,44.7814 +/- 1.9351,0.0132 +/- 0.0013,0.4485 +/- 0.0104,9994.8506 +/- 1554.8384,59.1023 +/- 2.8654,0.5682 +/- 0.1250,1.7377 +/- 0.2188,0.6304 +/- 0.0054,1.4043 +/- 0.4009
"NN-kNN (sparsemax), adaptation",2.1529 +/- 0.1492,1.8810 +/- 0.2556,44.5016 +/- 1.7199,0.0117 +/- 0.0011,0.4501 +/- 0.0162,9730.2264 +/- 1287.1770,56.6499 +/- 1.3381,0.5655 +/- 0.1082,1.4451 +/- 0.2950,0.6215 +/- 0.0055,1.1825 +/- 0.3238
"NN-kNN (sparsemax) + locality, locality",2.2312 +/- 0.1681,1.9991 +/- 0.2371,46.6586 +/- 0.7883,0.0132 +/- 0.0013,0.4501 +/- 0.0124,9912.4076 +/- 1691.9814,58.8463 +/- 3.0250,0.5121 +/- 0.0279,1.5975 +/- 0.2249,0.6294 +/- 0.0054,1.5753 +/- 0.4901
"NN-kNN (sparsemax) + locality, locality + adaptation",2.1620 +/- 0.1609,1.8838 +/- 0.2288,45.4636 +/- 0.6577,0.0117 +/- 0.0011,0.4478 +/- 0.0127,9909.8252 +/- 1375.7225,56.8663 +/- 1.6980,0.5041 +/- 0.0338,1.4338 +/- 0.3439,0.6229 +/- 0.0065,1.4211 +/- 0.5501
